	coach	race	mu	phi	value
6740	Jimjimany	Wood Elves	1885.385	60.294	1734.65
990	strider84	Wood Elves	1868.62	60.47	1717.445
19772	Joemanji	Undead	1838.464	54.238	1702.869
42900	Pipey	Norse	1886.25	75.123	1698.4425
83849	Jokaero	Dark Elves	1879.24	76.06	1689.09
52862	Olivierdulac	Skaven	1837.535	60.271	1686.8575
88145	Phoenix11	Dark Elves	1831.385	59.324	1683.075
19622	Jeff	Undead	1892.677	84.6	1681.177
84760	AndyDavo	Dark Elves	1841.78	64.359	1680.8825
2559	Tripleskull	Wood Elves	1814.567	56.926	1672.252
2536	Clement0	Wood Elves	1779.531	44.021	1669.4785
117821	Geggster	Amazons	1869.539	80.221	1668.9865
69016	Harti	Chaos Dwarves	1821.244	60.904	1668.984
88699	straume	Dark Elves	1834.056	67.035	1666.4685
84187	zoul	Dark Elves	1861.853	78.401	1665.8505
65679	Jokaero	Chaos Dwarves	1899.938	94.201	1664.4355
21958	delevus	Undead	1906.094	96.724	1664.284
63631	Atropabelladonna	Chaos Dwarves	2068.919	162.085	1663.7064999999998
138359	Jokaero	Necromantic	1816.903	61.511	1663.1255
74282	Joemanji	Lizardmen	1850.903	75.158	1663.008
112808	delevus	Amazons	1856.165	77.322	1662.86
86105	kfoged	Dark Elves	1811.01	60.658	1659.365
1034	mobo	Wood Elves	1819.433	64.384	1658.473
82567	Gaixo	Dark Elves	1899.916	98.139	1654.5684999999999
24730	Pipey	Undead	1814.48	65.3	1651.23
7078	BiBi	Wood Elves	1818.244	66.915	1650.9564999999998
1385	Spartako	Wood Elves	1819.844	67.64	1650.7440000000001
111711	Matt_le_Fou	Amazons	1811.156	65.127	1648.3384999999998
144730	Kewan	Necromantic	1867.625	89.06	1644.975
87186	Harti	Dark Elves	1830.21	74.276	1644.52
23688	Justicium	Undead	1779.111	54.025	1644.0485
4340	kfoged	Wood Elves	1852.903	83.75	1643.528
9499	Purplegoo	Humans	1826.291	73.181	1643.3384999999998
2383	Simon_ACP	Wood Elves	1821.25	71.271	1643.0725
21039	Dirold	Undead	1824.393	72.771	1642.4655
26511	azzroag	Undead	1778.6	54.694	1641.8649999999998
76657	Candlejack	Lizardmen	1807.942	67.821	1638.3895
88593	Petew	Dark Elves	1797.896	64.143	1637.5384999999999
39791	Shirokov	Norse	1760.617	49.692	1636.387
73094	Purplegoo	Lizardmen	1817.774	72.564	1636.364
28640	Spartako	Orc	1756.129	48.293	1635.3964999999998
62839	Roller	Dwarves	1798.327	65.54	1634.4769999999999
84634	Dirold	Dark Elves	1802.579	67.272	1634.399
114948	Podfrey	Amazons	1878.342	97.851	1633.7145
60438	Podfrey	Dwarves	1839.31	83.872	1629.6299999999999
83328	garrick	Dark Elves	1766.314	55.825	1626.7515
15484	Rolex	Humans	1780.372	61.575	1626.4345
78009	Samdulac	Lizardmen	1852.682	91.011	1625.1545
46861	Farina	Skaven	1766.9	57.038	1624.305
21044	Liam	Undead	1745.609	49.018	1623.0639999999999
414	Purplegoo	Wood Elves	1809.449	74.976	1622.009
44858	ozt	Norse	1791.354	67.816	1621.814
23844	Beppe	Undead	1807.527	74.396	1621.537
51944	Duke_Luthor_Von_Hawkfire	Skaven	1844.683	89.261	1621.5305
79240	Pipey	Lizardmen	1791.804	68.221	1621.2515
201412	MissSweden	Chaos Pact	1824.323	81.521	1620.5205
141793	Justicium	Necromantic	1789.056	67.732	1619.726
3465	FischerKing	Wood Elves	1895.982	110.622	1619.427
61176	melisqus	Dwarves	1771.359	60.96	1618.9589999999998
90022	G16	Dark Elves	1779.072	64.199	1618.5745
76843	Sebotouno	Lizardmen	1742.928	50.529	1616.6055000000001
1787	Flix	Wood Elves	1924.879	123.642	1615.774
84148	Simon_ACP	Dark Elves	1771.495	62.419	1615.4475
81009	Roller	Lizardmen	1777.288	64.779	1615.3405
22510	kfoged	Undead	1785.783	68.422	1614.7279999999998
3231	stick_with_poo_on_the_end	Wood Elves	1831.742	87.234	1613.657
39258	Manz62	Norse	1827.23	85.686	1613.0149999999999
80229	bletos	Lizardmen	1771.935	63.799	1612.4375
61588	BiBi	Dwarves	1892.805	112.303	1612.0475000000001
77878	Elyoukey	Lizardmen	1752.585	56.319	1611.7875
93719	Dirold	High Elves	1826.48	85.926	1611.665
42213	Karkass	Norse	1842.816	93.408	1609.296
29768	diomlord	Orc	1731.682	49.132	1608.852
2685	flyingdingle	Wood Elves	1771.413	65.281	1608.2105
86409	bud_wiser	Dark Elves	1798.444	76.284	1607.734
195542	Don_Vito	Slann	1873.915	106.705	1607.1525
80983	Verrinho	Lizardmen	1741.066	53.948	1606.196
21324	bourpif	Undead	1755.052	59.938	1605.2069999999999
88115	mubo	Dark Elves	1776.729	68.729	1604.9065
5674	Beppe	Wood Elves	1769.036	66.175	1603.5985
96368	Justicium	High Elves	1815.789	84.956	1603.399
70673	BiBi	Chaos Dwarves	1818.098	86.039	1603.0004999999999
20861	Matt_le_Fou	Undead	1759.284	62.603	1602.7765000000002
141128	Frikipe	Necromantic	1896.387	117.464	1602.7269999999999
90589	MOLOK	Dark Elves	1733.226	52.45	1602.101
41097	Don_Vito	Norse	1782.026	72.016	1601.986
73409	BudSpencer	Lizardmen	1805.554	81.463	1601.8965
26499	Roller	Undead	1832.523	92.306	1601.7579999999998
12873	delevus	Humans	1852.646	100.423	1601.5884999999998
73866	Planlos	Lizardmen	1757.659	62.611	1601.1315000000002
87439	Beppe	Dark Elves	1875.509	109.804	1600.999
6569	Galmor	Wood Elves	1788.661	75.258	1600.516
111239	Tank	Amazons	1817.999	87.033	1600.4165
151740	Phoenix11	Elves	1746.264	58.388	1600.2939999999999
79758	BiBi	Lizardmen	1812.778	85.033	1600.1955
76716	grosnain	Lizardmen	1779.332	72.122	1599.027
85235	zahiko	Dark Elves	1731.804	53.912	1597.0240000000001
76139	Owen86	Lizardmen	1733.877	55.056	1596.237
38723	Simon_ACP	Norse	1758.884	65.299	1595.6365
16560	Malasnoticias	Humans	1772.891	71.021	1595.3385
50182	Don_Vito	Skaven	1799.813	81.819	1595.2655
7437	Olivierdulac	Wood Elves	1764.713	67.909	1594.9405
191199	Purplegoo	Slann	1813.445	87.415	1594.9074999999998
50465	Chopper	Skaven	1851.461	102.74	1594.611
8801	Geggster	Wood Elves	1787.189	77.411	1593.6615000000002
8658	F.XIII	Wood Elves	1750.602	62.906	1593.337
1369	Endzone	Wood Elves	1792.619	79.833	1593.0365
3801	Titouch	Wood Elves	1761.549	67.509	1592.7765
192327	MissSweden	Slann	1844.693	100.963	1592.2855
89900	Kaltenland	Dark Elves	1770.891	71.542	1592.036
4651	donpimpon	Wood Elves	1790.28	79.45	1591.655
115580	Pipey	Amazons	1824.722	93.248	1591.6019999999999
73725	bouzzy	Lizardmen	1751.871	64.128	1591.5510000000002
83608	Badcuz	Dark Elves	1983.319	156.736	1591.479
20855	flyingdingle	Undead	1780.34	75.694	1591.105
84260	odul	Dark Elves	1858.218	106.927	1590.9005000000002
41064	Grither	Norse	1834.878	98.225	1589.3155
111889	Dirold	Amazons	1779.325	76.263	1588.6675
18740	Davouille	Undead	1816.039	91.021	1588.4865
7588	varagh	Wood Elves	1828.769	96.203	1588.2615
57933	Chavrouze51	Dwarves	1741.236	61.198	1588.241
55946	Farina	Dwarves	1743.362	62.107	1588.0945000000002
77478	Karaak	Lizardmen	1779.173	76.504	1587.913
143355	Yena	Necromantic	1721.675	53.513	1587.8925
84130	Zusto	Dark Elves	1911.129	129.665	1586.9665
78101	Harti	Lizardmen	1904.013	126.885	1586.8004999999998
87822	whigwam	Dark Elves	1782.705	78.542	1586.35
73670	strider84	Lizardmen	1779.333	77.207	1586.3155000000002
79199	Duke_Luthor_Von_Hawkfire	Lizardmen	1743.897	63.056	1586.257
48575	nicodaz	Skaven	1829.376	97.3	1586.126
29474	Tank	Orc	1802.666	86.69	1585.941
24089	Winkle_Picka	Undead	1740.499	61.983	1585.5415
231849	Grither	Bretonnians	1899.593	125.73	1585.268
81481	Geggster	Lizardmen	1769.677	73.776	1585.2369999999999
22160	Cana	Undead	1741.518	62.649	1584.8955
18593	dragons	Undead	1786.353	80.611	1584.8255000000001
2219	Tank	Wood Elves	1785.878	80.434	1584.793
213036	Stimme	Underworld	1771.658	74.794	1584.673
50754	Samdulac	Skaven	1843.381	103.498	1584.636
159243	Karaak	Khemri	1746.46	64.787	1584.4925
6274	Miko	Wood Elves	1804.085	87.935	1584.2475
81160	Jaqra	Lizardmen	1729.576	58.229	1584.0035
30327	Rabid_Bogscum	Orc	1776.972	77.204	1583.962
59722	Oventa	Dwarves	1765.52	72.64	1583.92
55239	BudSpencer	Dwarves	1849.938	106.665	1583.2755000000002
13938	Frikipe	Humans	1896.172	125.301	1582.9195
25730	kikurasis	Undead	1765.385	73.219	1582.3375
23591	Harti	Undead	1786.158	81.556	1582.268
4081	Stimme	Wood Elves	1823.87	96.747	1582.0024999999998
38703	isenmike	Norse	1863.542	113.443	1579.9344999999998
81717	roger3rd	Lizardmen	1862.421	113.416	1578.881
20691	skoberget	Undead	1789.332	84.243	1578.7245
8329	Roller	Wood Elves	1822.057	97.46	1578.4070000000002
56594	Jokaero	Dwarves	1749.785	68.934	1577.45
3977	Candlejack	Wood Elves	1830.748	101.51	1576.973
59212	Lycos	Dwarves	1778.334	80.724	1576.5240000000001
66746	Mewash	Chaos Dwarves	1739.522	65.42	1575.972
157595	nicodaz	Khemri	1781.846	82.423	1575.7885
67936	Matte8	Chaos Dwarves	1741.901	66.463	1575.7435
63976	SirMayans	Chaos Dwarves	1773.365	79.059	1575.7175
75043	isenmike	Lizardmen	1821.255	98.246	1575.64
20006	Kithor	Undead	1728.441	61.631	1574.3635
76864	Estremo	Lizardmen	1749.76	70.302	1574.0049999999999
70679	KSHARPER	Chaos Dwarves	1789.667	86.356	1573.777
68388	Lizardcore	Chaos Dwarves	1796.052	89.032	1573.472
141696	Harti	Necromantic	1803.635	92.154	1573.25
113360	kfoged	Amazons	1745.872	69.231	1572.7945
25376	tribalsinner	Undead	1874.627	120.794	1572.6419999999998
83984	Tank	Dark Elves	1759.922	74.995	1572.4345
78894	darthmael	Lizardmen	1880.026	123.114	1572.241
8335	Barbossa	Wood Elves	1719.706	59.033	1572.1235
112242	Astypal	Amazons	1750.572	71.465	1571.9094999999998
26971	Geggster	Undead	1755.285	73.513	1571.5025
23023	Frikipe	Undead	1875.404	121.694	1571.1689999999999
48827	DaBoar	Skaven	1724.376	61.428	1570.806
141687	Itzla	Necromantic	1740.048	67.92	1570.248
50278	Frikipe	Skaven	1834.367	105.696	1570.127
86563	Karaak	Dark Elves	1757.863	75.33	1569.538
76311	Acryosis	Lizardmen	1754.579	74.125	1569.2665
10075	strider84	Humans	1804.613	94.177	1569.1705
40421	Stimme	Norse	1770.34	80.474	1569.155
88505	Jimjimany	Dark Elves	1760.664	76.84	1568.5639999999999
63490	le_troll	Dwarves	1729.676	64.551	1568.2984999999999
77404	Grither	Lizardmen	1880.955	125.1	1568.205
86369	Talkarde	Dark Elves	1778.167	84.295	1567.4295
56346	Kithor	Dwarves	1789.403	88.831	1567.3255
86963	Elyoukey	Dark Elves	1766.227	79.694	1566.9920000000002
8756	inforthepain	Wood Elves	1722.34	62.193	1566.8574999999998
10470	Spartako	Humans	1787.659	88.653	1566.0265000000002
111513	Yohancryer	Amazons	1867.58	120.843	1565.4724999999999
14172	silkoun	Humans	1720.165	62.005	1565.1525
110856	Kithor	Amazons	1804.891	95.899	1565.1435000000001
1905	jump	Wood Elves	1708.293	57.337	1564.9505
32929	Beppe	Orc	1775.969	84.591	1564.4915
115500	Bucks	Amazons	1713.776	59.884	1564.066
3105	Warpstone	Wood Elves	1788.777	90.005	1563.7645
54181	inforthepain	Skaven	1772.552	83.85	1562.927
183242	MissSweden	Vampires	1814.167	100.514	1562.8819999999998
6385	Muadib	Wood Elves	1759.246	78.713	1562.4635
23210	Chopper	Undead	1799.771	94.979	1562.3235
66464	Dirold	Chaos Dwarves	1720.553	63.311	1562.2755000000002
23660	cedric19	Undead	1809.705	99.051	1562.0774999999999
22533	Mistery	Undead	1913.66	140.641	1562.0575000000001
46450	Floridaboy	Skaven	1843.88	112.868	1561.71
18763	cyberedelf	Undead	1756.153	77.89	1561.428
6480	Bucks	Wood Elves	1744.05	73.117	1561.2575
6350	mubo	Wood Elves	1779.158	87.223	1561.1005
24739	Galmor	Undead	1778.434	87.09	1560.7089999999998
1602	Joemanji	Wood Elves	1748.301	75.118	1560.5059999999999
55525	Azza	Dwarves	1847.598	114.893	1560.3654999999999
5421	Harti	Wood Elves	1736.847	70.675	1560.1595
111104	Jokaero	Amazons	1785.491	90.182	1560.036
109434	Purplegoo	Amazons	1794.174	93.689	1559.9515000000001
5724	SolarFlare	Wood Elves	1865.389	122.341	1559.5365
59234	Grither	Dwarves	1791.162	92.805	1559.1495
3647	Sebco	Wood Elves	1717.954	63.686	1558.739
68039	Ignaz	Chaos Dwarves	1813.467	101.917	1558.6745
143863	varagh	Necromantic	1774.994	86.651	1558.3664999999999
19719	gken1	Undead	1900.166	136.813	1558.1335
210497	MissSweden	Underworld	1808.943	100.452	1557.813
77525	lard	Lizardmen	1744.943	74.917	1557.6505
27031	Sladmortis	Undead	1776.357	87.777	1556.9144999999999
78941	Junior84	Lizardmen	1734.229	71.321	1555.9265
185488	delevus	Vampires	1763.204	83.121	1555.4015
72456	Sladmortis	Chaos Dwarves	1726.227	68.375	1555.2895
74132	Jeff	Lizardmen	1849.45	117.812	1554.92
24884	Hely	Undead	1770.189	86.405	1554.1765
68319	Grither	Chaos Dwarves	1755.906	80.752	1554.0259999999998
78223	Rodney_Dangerfield	Lizardmen	1809.034	102.255	1553.3965
28366	bloody	Orc	1747.908	77.813	1553.3754999999999
139415	redcard	Necromantic	1804.111	100.379	1553.1635
20634	Father_Gailus	Undead	1743.212	76.364	1552.302
51699	Miko	Skaven	1762.71	84.198	1552.2150000000001
24227	whigwam	Undead	1772.875	88.273	1552.1925
118020	Darktroll	Amazons	1830.811	111.619	1551.7635
28441	Planlos	Orc	1738.328	74.629	1551.7555
83266	Thomsy	Dark Elves	1847.215	118.198	1551.7199999999998
82238	yan64	Dark Elves	1837.394	114.398	1551.399
43815	Malasnoticias	Norse	1708.385	62.847	1551.2675
15214	Noerciux	Humans	1794.659	97.488	1550.939
139425	nicodaz	Necromantic	1727.826	70.811	1550.7984999999999
44669	Roller	Norse	1786.679	94.389	1550.7065
39131	Olaf_The_Stout	Norse	1747.727	78.845	1550.6145000000001
89893	nightwind	Dark Elves	1769.322	87.609	1550.2994999999999
802	Gaixo	Wood Elves	1862.01	124.727	1550.1925
4853	Frikipe	Wood Elves	1806.167	102.43	1550.0919999999999
82352	pedep	Dark Elves	1815.121	106.074	1549.9360000000001
53914	runki_khrum	Skaven	1704.914	62.074	1549.729
15040	Dunenzed	Humans	1873.397	129.497	1549.6544999999999
78092	Itzla	Lizardmen	1811.784	105.354	1548.3990000000001
51030	ChrisF	Skaven	1830.647	112.963	1548.2395
59728	D_Arquebus	Dwarves	1755.877	83.119	1548.0794999999998
212743	delevus	Underworld	1792.662	97.871	1547.9845
83367	Joemanji	Dark Elves	1717.378	67.823	1547.8205
82371	Red	Dark Elves	1812.503	105.881	1547.8004999999998
140977	Lycos	Necromantic	1701.414	61.503	1547.6565
141384	ADG	Necromantic	1795.308	99.074	1547.623
3121	Notorious_jtb	Wood Elves	1854.794	122.88	1547.594
2995	AndyDavo	Wood Elves	1838.292	116.355	1547.4044999999999
182114	Purplegoo	Vampires	1791.206	97.693	1546.9734999999998
46227	Gaixo	Skaven	1924.574	151.231	1546.4965000000002
110010	strider84	Amazons	1833.588	114.918	1546.293
204424	Foxxx	Chaos Pact	1713.338	66.909	1546.0655
160312	thespydyr	Khemri	1777.88	92.769	1545.9575
110116	Alronno	Amazons	1721.361	70.183	1545.9035000000001
147228	Lockmund	Elves	1736.547	76.293	1545.8145
505	Hippie	Wood Elves	1697.622	60.99	1545.1470000000002
21242	Rabid_Bogscum	Undead	1787.424	97.14	1544.574
152921	Besters	Elves	1691.318	58.724	1544.508
25607	Olivierdulac	Undead	1766.01	88.621	1544.4575
86235	rotersternhochdahl	Dark Elves	1696.624	60.929	1544.3015
117475	Kewan	Amazons	1776.917	93.189	1543.9445
87332	ATP	Dark Elves	1705.031	64.595	1543.5435
43803	Sizzler	Norse	1700.219	62.739	1543.3715
60931	Twyllenimor	Dwarves	1724.708	72.703	1542.9505000000001
42268	Podfrey	Norse	1749.228	82.536	1542.8880000000001
31245	Cana	Orc	1670.064	50.926	1542.749
150558	Elyoukey	Elves	1762.348	87.865	1542.6855
133709	Duke_Luthor_Von_Hawkfire	Goblins	1787.874	98.077	1542.6815000000001
77892	Oventa	Lizardmen	1754.6	85.021	1542.0475
11507	zoul	Humans	1771.868	92.015	1541.8305
28057	Gaixo	Orc	1899.468	143.076	1541.778
22872	Lycos	Undead	1704.812	65.242	1541.7069999999999
126845	smeborg	Chaos	1748.363	82.816	1541.323
150868	Tyra	Elves	1717.482	70.495	1541.2445
41173	soldierant	Norse	1795.705	101.828	1541.135
62195	MrCappuccino	Dwarves	1708.7	67.288	1540.48
78498	Baki	Lizardmen	1847.727	122.948	1540.357
141604	Samdulac	Necromantic	1746.79	82.599	1540.2925
208991	Atropabelladonna	Underworld	1851.094	124.359	1540.1965
50139	Thibault	Skaven	1729.178	75.982	1539.2230000000002
137817	MissSweden	Necromantic	1808.976	107.935	1539.1385
42859	Duke_Luthor_Von_Hawkfire	Norse	1725.586	74.775	1538.6485
201322	Jeff	Chaos Pact	1748.244	83.924	1538.434
13796	Asger	Humans	1849.094	124.35	1538.219
76422	L3athalK	Lizardmen	1730.727	77.041	1538.1245000000001
113722	Lycos	Amazons	1724.072	74.466	1537.907
26224	SpecialOne	Undead	1728.864	76.45	1537.739
22609	bampf	Undead	1855.515	127.159	1537.6175
7007	Lord_Bojo	Wood Elves	1703.564	66.463	1537.4065
19227	AndreasG	Undead	1876.028	135.538	1537.183
40082	L3athalK	Norse	1731.961	77.925	1537.1485
25248	BiBi	Undead	1779.942	97.358	1536.547
27419	Knox	Orc	1741.757	82.098	1536.5120000000002
22884	Thibault	Undead	1780.328	97.565	1536.4155
47212	Flix	Skaven	1802.906	106.622	1536.3509999999999
80451	OON	Lizardmen	1796.677	104.374	1535.742
110769	Sputnik	Amazons	1692.778	62.946	1535.413
86106	Matte8	Dark Elves	1700.777	66.252	1535.147
4335	Catto	Wood Elves	1728.851	77.487	1535.1335000000001
11468	Simon_ACP	Humans	1729.182	77.622	1535.127
140691	Coma	Necromantic	1781.4	98.517	1535.1075
23713	Rodney_Dangerfield	Undead	1826.783	116.713	1535.0004999999999
158233	delevus	Khemri	1828.931	117.642	1534.826
155994	gken1	Khemri	1818.458	113.467	1534.7905
22511	Matte8	Undead	1710.011	70.333	1534.1785
80625	HighElfMage	Lizardmen	1744.319	84.07	1534.144
51805	Phoenix11	Skaven	1731.501	78.956	1534.1109999999999
45430	Go_the_Hakes	Skaven	1735.382	80.552	1534.002
65978	Simon_ACP	Chaos Dwarves	1748.979	86.003	1533.9715
117349	Roller	Amazons	1740.648	82.691	1533.9205
117533	wilzif	Amazons	1720.846	74.81	1533.821
24207	Maitre_tactac	Undead	1734.171	80.188	1533.701
15645	Pipey	Humans	1743.698	84.062	1533.5430000000001
174699	Jokaero	Ogres	1767.457	93.571	1533.5295
76762	Budmilka	Lizardmen	1786.889	101.351	1533.5114999999998
124149	Da_Great_MC	Chaos	1749.17	86.405	1533.1575
142989	Hely	Necromantic	1743.134	84.014	1533.099
26828	F.XIII	Undead	1876.543	137.439	1532.9454999999998
144410	Kaltenland	Necromantic	1768.409	94.2	1532.909
19044	JimmyFantastic	Undead	1758.874	90.614	1532.339
18584	Purplegoo	Undead	1722.122	75.945	1532.2595000000001
139128	Topper	Necromantic	1726.686	77.814	1532.1509999999998
36721	SirMayans	Norse	1732.325	80.257	1531.6825000000001
24569	Rolex	Undead	1712.454	72.318	1531.6589999999999
18334	Knox	Undead	1750.274	87.5	1531.524
76210	Hawca	Lizardmen	1812.706	112.486	1531.491
41042	Lycos	Norse	1769.242	95.147	1531.3745
19198	Galanthil	Undead	1735.295	81.595	1531.3075000000001
165079	gken1	Nurgle's Rotters	1830.968	119.89	1531.243
81124	Wulfyn	Lizardmen	1663.733	53.033	1531.1505
48313	Ivs	Skaven	1742.363	84.589	1530.8905
140714	bampf	Necromantic	1848.27	127.34	1529.92
42739	Rolex	Norse	1725.758	78.466	1529.593
76015	Carloz	Lizardmen	1670.672	56.491	1529.4445
39193	Topper	Norse	1737.327	83.2	1529.327
75534	Matos	Lizardmen	1762.875	93.434	1529.29
4757	Don_Vito	Wood Elves	1747.923	87.498	1529.1779999999999
24990	disk	Undead	1799.289	108.509	1528.0165
36855	Zulu	Norse	1711.579	73.446	1527.964
83672	diceskill	Dark Elves	1790.083	104.851	1527.9555
201706	Kithor	Chaos Pact	1823.551	118.247	1527.9334999999999
3936	happygrue	Wood Elves	1938.957	164.42	1527.9070000000002
1992	Krix	Wood Elves	1717.321	75.807	1527.8035
29830	Banelord	Orc	1766.95	95.663	1527.7925
77021	Matte8	Lizardmen	1703.685	70.483	1527.4775
201619	Sputnik	Chaos Pact	1764.878	95.053	1527.2455
17149	SillySod	Humans	1746.723	87.846	1527.108
77789	ADG	Lizardmen	1773.024	98.394	1527.0389999999998
49506	Stimme	Skaven	1793.566	106.693	1526.8335
55693	grumpsh	Dwarves	1755.545	91.599	1526.5475000000001
51462	Maitre_tactac	Skaven	1811.601	114.041	1526.4985000000001
96271	Harti	High Elves	1805.12	111.521	1526.3174999999999
22147	Candlejack	Undead	1681.145	61.943	1526.2875
153540	koliriokolapso	Elves	1704.536	71.31	1526.261
57833	Valgas	Dwarves	1961.42	174.071	1526.2425
18803	Reszka	Undead	1713.364	74.874	1526.179
83252	the_sage	Dark Elves	1741.659	86.214	1526.124
6210	Pink_Charlie	Wood Elves	1719.448	77.335	1526.1105000000002
6897	Beldilucho	Wood Elves	1709.132	73.255	1525.9945
41552	Oventa	Norse	1756.18	92.082	1525.9750000000001
59930	Norse	Dwarves	1847.459	128.613	1525.9265
1436	Farina	Wood Elves	1720.371	77.783	1525.9135
77263	NippyLongskar	Lizardmen	1707.938	72.822	1525.883
41636	Bakunin	Norse	1755.025	91.677	1525.8325
144448	ghorghor	Necromantic	1694.94	67.76	1525.54
21297	inluzon	Undead	1699.107	69.433	1525.5245
80256	Pulpo_Fiction	Lizardmen	1808.246	113.196	1525.256
74706	spock	Lizardmen	1761.863	94.645	1525.2505
39571	stick_with_poo_on_the_end	Norse	1745.293	88.048	1525.1729999999998
23279	ADG	Undead	1813.65	115.397	1525.1575
68490	Oni_Goku	Chaos Dwarves	1737.293	84.856	1525.1529999999998
53358	idroj	Skaven	1689.863	65.921	1525.0605
81193	wilzif	Lizardmen	1753.099	91.322	1524.7939999999999
50534	ADG	Skaven	1755.822	92.417	1524.7794999999999
63267	Jericho	Dwarves	1699.949	70.078	1524.7540000000001
53560	Kaltenland	Skaven	1671.437	58.692	1524.7069999999999
73054	johnnyd	Lizardmen	1739.157	85.801	1524.6544999999999
37716	drdeath	Norse	1772.481	99.134	1524.646
160169	SolarFlare	Khemri	1848.972	129.742	1524.617
70529	straume	Chaos Dwarves	1717.529	77.165	1524.6165
59365	Neret	Dwarves	1834.617	124.055	1524.4795
89202	Olivierdulac	Dark Elves	1805.2	112.306	1524.435
7757	al1	Wood Elves	1748.263	89.542	1524.408
25633	Sizzler	Undead	1792.664	107.441	1524.0615
70063	OTS	Chaos Dwarves	1730.978	82.778	1524.0330000000001
32473	D_Arquebus	Orc	1798.6	109.851	1523.9724999999999
142776	Gaunab	Necromantic	1674.856	60.357	1523.9635
5198	Elyoukey	Wood Elves	1736.997	85.299	1523.7495000000001
149296	happygrue	Elves	1935.211	164.63	1523.636
71334	mike_rushby	Chaos Dwarves	1676.277	61.107	1523.5095000000001
147743	Simon_ACP	Elves	1744.276	88.381	1523.3235
54674	Knox	Dwarves	1734.511	84.478	1523.316
74065	Spartako	Lizardmen	1761.252	95.224	1523.192
20389	Tank	Undead	1788.182	106.048	1523.062
112092	Rabid_Bogscum	Amazons	1765.967	97.205	1522.9545
3072	Rabid_Bogscum	Wood Elves	1741.62	87.477	1522.9274999999998
20956	Prince	Undead	1757.033	93.799	1522.5355
142194	Winkle_Picka	Necromantic	1780.805	103.337	1522.4625
29048	Corrupt	Orc	1778.484	102.416	1522.444
41883	Rodney_Dangerfield	Norse	1745.554	89.296	1522.314
79760	Yena	Lizardmen	1742.304	88.005	1522.2915
81675	Miyata	Lizardmen	1724.942	81.141	1522.0895
2432	MrNuffle	Wood Elves	1687.685	66.241	1522.0825
77898	D_Arquebus	Lizardmen	1764.051	96.842	1521.946
63028	ozt	Dwarves	1740.886	87.713	1521.6035
113744	Grither	Amazons	1842.943	128.569	1521.5205
34040	WIldManTX	Orc	1722.053	80.459	1520.9055
22004	dazedmw	Undead	1727.566	82.695	1520.8285
21310	redcard	Undead	1689.84	67.694	1520.605
84556	Olaf_The_Stout	Dark Elves	1770.407	99.953	1520.5245
25758	varagh	Undead	1751.481	92.445	1520.3685
79577	Beldilucho	Lizardmen	1770.902	100.223	1520.3445000000002
24620	Gesmachiene	Undead	1709.214	75.568	1520.2939999999999
64807	moyate	Chaos Dwarves	1712.289	76.827	1520.2215
90566	Geggster	Dark Elves	1733.56	85.419	1520.0125
14194	ADG	Humans	1754.825	94.014	1519.79
3298	Dave	Wood Elves	1741.934	88.907	1519.6665
64009	Purplegoo	Chaos Dwarves	1725.809	82.603	1519.3015
6560	Pipey	Wood Elves	1780.016	104.336	1519.1760000000002
80560	jmanu	Lizardmen	1753.95	93.994	1518.9650000000001
207345	Malasnoticias	Chaos Pact	1716.349	78.961	1518.9465
90106	azzroag	Dark Elves	1705.767	74.989	1518.2945
6370	smilzo	Wood Elves	1722.327	81.623	1518.2694999999999
150469	ADG	Elves	1767.89	100.038	1517.795
117084	SillySod	Amazons	1782.567	106.068	1517.397
83552	Flix	Dark Elves	1718.74	80.721	1516.9375
110622	Joemanji	Amazons	1784.552	107.062	1516.897
53360	Josepe	Skaven	1693.044	70.523	1516.7365
34335	Yena	Orc	1705.21	75.544	1516.3500000000001
33444	Doubleskulls	Orc	1846.875	132.21	1516.35
204594	Grither	Chaos Pact	1852.662	134.547	1516.2945
146632	Joanet	Elves	1701.384	74.039	1516.2865
84780	Skuld	Dark Elves	1698.415	72.991	1515.9375
65136	jrock56	Chaos Dwarves	1764.43	99.447	1515.8125
75549	Dirold	Lizardmen	1736.832	88.41	1515.8070000000002
65170	rippersly	Chaos Dwarves	1707.346	76.624	1515.786
18418	Hamstertaker	Undead	1685.924	68.061	1515.7714999999998
51	speedingbullet	Wood Elves	1684.617	67.656	1515.4769999999999
16768	hades	Humans	1715.548	80.216	1515.008
141949	Beppe	Necromantic	1796.019	112.408	1514.999
68924	Samdulac	Chaos Dwarves	1754.951	95.989	1514.9785
29636	Masterfit	Orc	1747.095	92.86	1514.945
2963	Phil78	Wood Elves	1693.856	71.577	1514.9135
20551	Masterfit	Undead	1755.994	96.448	1514.874
148470	Duckynator	Elves	1704.266	75.818	1514.721
196003	D_Arquebus	Slann	1845.584	132.421	1514.5315
59211	iena	Dwarves	1823.235	123.559	1514.3374999999999
82188	dragons	Dark Elves	1841.7	131.024	1514.14
112838	SHADEKNIGHT	Amazons	1733.547	87.82	1513.997
6471	Raziel	Wood Elves	1768.444	101.818	1513.899
35584	Roller	Orc	1728.888	86.154	1513.503
37541	Willem	Norse	1704.595	76.477	1513.4025000000001
25900	lauth81	Undead	1672.839	63.806	1513.324
5919	Winkle_Picka	Wood Elves	1738.54	90.236	1512.95
